r : 3 	 pOfError : 0.2 	 pGB : 0.8 	 pBG : 0.5 	 Interleave Height : 1 	 Average Success Rate : 91.650000
r : 3 	 pOfError : 0.2 	 pGB : 0.8 	 pBG : 0.6 	 Interleave Height : 1 	 Average Success Rate : 91.675000
r : 3 	 pOfError : 0.2 	 pGB : 0.8 	 pBG : 0.7 	 Interleave Height : 1 	 Average Success Rate : 92.125000
r : 3 	 pOfError : 0.2 	 pGB : 0.8 	 pBG : 0.8 	 Interleave Height : 1 	 Average Success Rate : 93.375000
r : 3 	 pOfError : 0.2 	 pGB : 0.8 	 pBG : 0.9 	 Interleave Height : 1 	 Average Success Rate : 95.125000

r : 3 	 pOfError : 0.2 	 pGB : 0.9 	 pBG : 0.1 	 Interleave Height : 1 	 Average Success Rate : 83.975000
r : 3 	 pOfError : 0.2 	 pGB : 0.9 	 pBG : 0.2 	 Interleave Height : 1 	 Average Success Rate : 83.775000
r : 3 	 pOfError : 0.2 	 pGB : 0.9 	 pBG : 0.3 	 Interleave Height : 1 	 Average Success Rate : 87.075000
r : 3 	 pOfError : 0.2 	 pGB : 0.9 	 pBG : 0.4 	 Interleave Height : 1 	 Average Success Rate : 88.425000
r : 3 	 pOfError : 0.2 	 pGB : 0.9 	 pBG : 0.5 	 Interleave Height : 1 	 Average Success Rate : 90.925000
r : 3 	 pOfError : 0.2 	 pGB : 0.9 	 pBG : 0.6 	 Interleave Height : 1 	 Average Success Rate : 92.025000
r : 3 	 pOfError : 0.2 	 pGB : 0.9 	 pBG : 0.7 	 Interleave Height : 1 	 Average Success Rate : 92.300000
r : 3 	 pOfError : 0.2 	 pGB : 0.9 	 pBG : 0.8 	 Interleave Height : 1 	 Average Success Rate : 93.350000
r : 3 	 pOfError : 0.2 	 pGB : 0.9 	 pBG : 0.9 	 Interleave Height : 1 	 Average Success Rate : 92.700000


r : 3 	 pOfError : 0.3 	 pGB : 0.1 	 pBG : 0.1 	 Interleave Height : 1 	 Average Success Rate : 85.550000
r : 3 	 pOfError : 0.3 	 pGB : 0.1 	 pBG : 0.2 	 Interleave Height : 1 	 Average Success Rate : 91.475000
r : 3 	 pOfError : 0.3 	 pGB : 0.1 	 pBG : 0.3 	 Interleave Height : 1 	 Average Success Rate : 93.775000
